text	label	truth
I'm trying to figure out the current exchange rate.	exchange_rate	exchange_rate
What's the top up limit?	top_up_limits	top_up_limits
Tell me if there are any top-up limits?	top_up_limits	top_up_limits
atm would not give me cash	declined_cash_withdrawal	declined_cash_withdrawal
Why was my virtual card declined when attempting to setup automatic billing?	declined_card_payment	virtual_card_not_working
May I exchange currencies with this?	exchange_via_app	exchange_via_app
I tired to deposit some cash into my account but it's not there	balance_not_updated_after_cheque_or_cash_deposit	balance_not_updated_after_cheque_or_cash_deposit
My cash withdrawal was partly declined	declined_cash_withdrawal	wrong_amount_of_cash_received
Is there a fee for exchanging currencies?	exchange_via_app	exchange_charge
What currencies can I hold money in?	supported_cards_and_currencies	fiat_currency_support
How do I report my card lost or stolen?	lost_or_stolen_card	lost_or_stolen_card
Do I have to do the identity check?	why_verify_identity	why_verify_identity
What are the steps to verify my identity?	verify_my_identity	verify_my_identity
There appears to have been a reversion in my top up	top_up_failed	top_up_reverted
How many disposable cards is the limit?	supported_cards_and_currencies	disposable_card_limits
Why was my card payment declined?	declined_card_payment	declined_card_payment
Do you have a top-up limit?	top_up_limits	top_up_limits
why couldn't I get cash in the ATM?	declined_cash_withdrawal	declined_cash_withdrawal
I need a new PIN.	change_pin	change_pin
Can I have one of the virtual cards?	getting_virtual_card	getting_virtual_card
I can't prove my identity.	unable_to_verify_identity	unable_to_verify_identity
Was my top up reversed?	top_up_failed	top_up_reverted
What is the exchange fee?	exchange_rate	exchange_charge
Why wouldn't the contactless payment work when I tried to pay at the bus today?	declined_card_payment	contactless_not_working
Can I get cash with this card anywhere?	supported_cards_and_currencies	atm_support
Can you look to make sure the exchange rate is correct	exchange_rate	wrong_exchange_rate_for_cash_withdrawal
I have a pending payment in my account that I paid a while back ago and it still hasnt gone through. Why would it show pending for so long?	balance_not_updated_after_cheque_or_cash_deposit	pending_card_payment
I don't like that I have to fill out so much information about my identity.	unable_to_verify_identity	why_verify_identity
Are you able to unblock my pin?	pin_blocked	pin_blocked
How are you determining your exchange rates?	exchange_rate	exchange_rate
Why didn't the ATM give me my money?	declined_cash_withdrawal	declined_cash_withdrawal
I have friends that would like to top-up my account is that possible?	apple_pay_or_google_pay	topping_up_by_card
I have been charged with a fee for paying with my card.	declined_card_payment	card_payment_fee_charged
You keep declining my transfers? It's always been working really well so far, but when I tried to buy something just now the card got declined. I tried couple times already but same thing.	declined_card_payment	declined_transfer
Which fiat currencies do you support?	exchange_via_app	fiat_currency_support
Can I get some money exchanged?	supported_cards_and_currencies	exchange_via_app
Can you tell me where you get your exchange rates?	exchange_rate	exchange_rate
The ATM didn't give me the card back!	declined_cash_withdrawal	card_swallowed
How do I view the card I received in the app?	getting_virtual_card	card_linking
How would you use a disposable card?	supported_cards_and_currencies	get_disposable_virtual_card
Do you accept checks?	supported_cards_and_currencies	top_up_by_cash_or_cheque
Can I use a bank transfer to refill my account?	supported_cards_and_currencies	transfer_into_account
How would I use my money in a different country?	supported_cards_and_currencies	exchange_via_app
My top-up was reverted, why did this happen?	top_up_failed	top_up_reverted
I submitted a cash deposit to my account but it hasn't posted yet.	balance_not_updated_after_cheque_or_cash_deposit	balance_not_updated_after_cheque_or_cash_deposit
Can I open an account for a child?	supported_cards_and_currencies	age_limit
Are both Visa and Mastercard accepted?	supported_cards_and_currencies	visa_or_mastercard
Can I use my account without verifying my identity?	why_verify_identity	why_verify_identity
Why would my top up be cancelled?	top_up_failed	top_up_reverted
Balance hasn't been updated following a cheque or cash deposit	balance_not_updated_after_cheque_or_cash_deposit	balance_not_updated_after_cheque_or_cash_deposit
How do I transfer money to my account?	supported_cards_and_currencies	transfer_into_account
How come the ATM gave me less cash than what I asked for?	declined_cash_withdrawal	wrong_amount_of_cash_received
What ATMs will accept this type of card?	supported_cards_and_currencies	atm_support
Why did it decline my payment?	declined_card_payment	declined_card_payment
My phone was stolen, what do I do?	lost_or_stolen_phone	lost_or_stolen_phone
Can you tell me what to do to reset my passcode?	passcode_forgotten	passcode_forgotten
how many transactions can i make with a disposable card	supported_cards_and_currencies	get_disposable_virtual_card
Can i change my PIN at the ATM?	change_pin	change_pin
Can you freeze my card it was stolen	lost_or_stolen_card	lost_or_stolen_card
Help my verify my id.	unable_to_verify_identity	unable_to_verify_identity
I think my top up did not work	top_up_failed	top_up_failed
I am having difficulties to verify my identity.	unable_to_verify_identity	unable_to_verify_identity
I would like to exchange currencies	exchange_via_app	exchange_via_app
Will I be charged if I use European bank card for top up?	supported_cards_and_currencies	top_up_by_card_charge
Where are the virtual cards located?	getting_virtual_card	getting_virtual_card
My cash withdrawl was declined why?	declined_cash_withdrawal	declined_cash_withdrawal
Somehow I am missing my card.  What should I do?	lost_or_stolen_card	lost_or_stolen_card
What currencies or cards do you support for topping up?	supported_cards_and_currencies	supported_cards_and_currencies
Can I make transfers before identity verification?	verify_my_identity	why_verify_identity
I can't find my phone.	lost_or_stolen_phone	lost_or_stolen_phone
Do I need to verify my identity to use my account?	why_verify_identity	why_verify_identity
Can you tell me if my pop-up went through?	top_up_failed	top_up_failed
Does my PIN come with my card?	change_pin	get_physical_card
I was at an ATM and it swallowed my card.	declined_cash_withdrawal	card_swallowed
Why did my cash get charged a fee that should not be there.	declined_card_payment	cash_withdrawal_charge
How do I go forth on transferring money into my account?	supported_cards_and_currencies	transfer_into_account
The ATM keeps declining my card. I tried at a couple different ATMs. Can you tell me if there's a problem with my account?	declined_cash_withdrawal	declined_cash_withdrawal
how long and how much does it cost for new card	supported_cards_and_currencies	card_about_to_expire
Why didn`t my topup go through?	top_up_failed	top_up_failed
Why was my cash withdrawal declined?	declined_cash_withdrawal	declined_cash_withdrawal
Im very upset as my top-up was canceled and I have no idea why.	top_up_failed	top_up_reverted
What exchange rate do you use?	exchange_rate	exchange_rate
Why am I not able to verify my id?	unable_to_verify_identity	unable_to_verify_identity
The ATM machine stole my card.	declined_cash_withdrawal	card_swallowed
I used my card for a purchase and was charged a fee	declined_card_payment	card_payment_fee_charged
Why can't I top up with a cheque?	balance_not_updated_after_cheque_or_cash_deposit	top_up_by_cash_or_cheque
Why am I having trouble verifying my id?	unable_to_verify_identity	unable_to_verify_identity
What does it mean when my top up is saying  still pending?	pending_top_up	pending_top_up
Can my friends send me money?	supported_cards_and_currencies	receiving_money
How many disposable cards per day am I allowed to have?	supported_cards_and_currencies	disposable_card_limits
Is there an exchange fee?	exchange_rate	exchange_charge
Do you do Visa or Mastercard?	supported_cards_and_currencies	visa_or_mastercard
The amount of cash I received was incorrect	declined_cash_withdrawal	wrong_amount_of_cash_received
Why is there more then one charge on my card I only paid for one not twice how can I fix this?	declined_card_payment	transaction_charged_twice
Why is the exchange rate so exorbitant? This should have been a much higher amount of cash for that to apply.	exchange_rate	wrong_exchange_rate_for_cash_withdrawal
Why was my transfer charged fees?	declined_card_payment	transfer_fee_charged
I need to reset my passcode. How do I do it?	passcode_forgotten	passcode_forgotten
Why is the cash deposit not showing up in my account?	balance_not_updated_after_cheque_or_cash_deposit	balance_not_updated_after_cheque_or_cash_deposit
What is the limit to disposable cards you can have?	supported_cards_and_currencies	disposable_card_limits
My money transfer has not arrived.	balance_not_updated_after_cheque_or_cash_deposit	transfer_not_received_by_recipient
What's the limit on automatic top-up?	top_up_limits	automatic_top_up
Is my currency okay to add money with?	supported_cards_and_currencies	supported_cards_and_currencies
I would like a virtual card- where can I purchase one?	getting_virtual_card	getting_virtual_card
Is there a fee for using a European bank card to top up?	supported_cards_and_currencies	top_up_by_card_charge
How do i transfer money using my credit card?	supported_cards_and_currencies	topping_up_by_card
Do you have a limit to top ups?	top_up_limits	top_up_limits
I tried making an update to my balance using cheque just yesterday but it doesn't appear to have worked. Should this not be a faster process? I need you to please check over my account because something has went wrong.	balance_not_updated_after_cheque_or_cash_deposit	balance_not_updated_after_cheque_or_cash_deposit
"""""""Where can I get my PIN unblocked?"""""""	pin_blocked	pin_blocked
"""""""What do I do if an ATM """"""""stole"""""""" my card?"""""""	declined_cash_withdrawal	card_swallowed
why do i not have a virtual card	getting_virtual_card	getting_virtual_card
What is my card's PIN?	change_pin	get_physical_card
I got charged and extra fee when I transferred money so why was I charged?	declined_card_payment	transfer_fee_charged
How do I go through the process of currency exchange?	exchange_via_app	exchange_via_app
How man currencies can I hold?	supported_cards_and_currencies	fiat_currency_support
I didn't get cash from an ATM, but the app says I did	declined_cash_withdrawal	cash_withdrawal_not_recognised
I've notice I was charged for withdrawing cash, can you explain why?	declined_cash_withdrawal	cash_withdrawal_charge
What countries will my card be supported in?	supported_cards_and_currencies	country_support
Can I have a auto top-up when my account is short?	apple_pay_or_google_pay	automatic_top_up
My card is gone I think it was stolen	lost_or_stolen_card	lost_or_stolen_card
I'm at an ATM and withdrew 30 pounds and was only given 10. What should I do?	declined_cash_withdrawal	wrong_amount_of_cash_received
What do you charge for physical cards?	supported_cards_and_currencies	order_physical_card
What do you need so I can verify my identity?	verify_my_identity	verify_my_identity
What should I do to verify my identity?	verify_my_identity	verify_my_identity
I made a withdraw from the ATM this past holiday and it seems like a was charged too much. If I would have   known about these charges I wouldn't have made a withdraw.	declined_cash_withdrawal	wrong_exchange_rate_for_cash_withdrawal
What are some reasons that would cause ATM machines to decline my card? It has happened to me multiple times!	declined_cash_withdrawal	declined_cash_withdrawal
Do you know why my card payment was reverted?	declined_card_payment	reverted_card_payment?
What can you tell me about getting a virtual disposable card?	supported_cards_and_currencies	get_disposable_virtual_card
I think my card was stolen.	lost_or_stolen_card	lost_or_stolen_card
I was supposed to get a purchase refunded but I don't see the money in my account	balance_not_updated_after_cheque_or_cash_deposit	Refund_not_showing_up
Where can I obtain my virtual card?	getting_virtual_card	getting_virtual_card
Change currency	exchange_via_app	exchange_via_app
Why was I charged a fee for withdrawing cash?	declined_cash_withdrawal	cash_withdrawal_charge
The exchange rate on my purchase is wrong.	exchange_rate	card_payment_wrong_exchange_rate
I am not able to use the app since I forgot my phone at the hotel I was staying at.	lost_or_stolen_phone	lost_or_stolen_phone
How are currencies exchanged?	exchange_via_app	exchange_via_app
Can I exchange currencies?	exchange_via_app	fiat_currency_support
I was trying to purchase something at the store today and my card has been declined.  Why has this happened?	declined_card_payment	declined_card_payment
Atm took my card	declined_cash_withdrawal	card_swallowed
What are the most current exchange rates?	exchange_rate	exchange_rate
What is the highest limit for Auto Top?	top_up_limits	automatic_top_up
To add money to my account, what currencies can I use?	supported_cards_and_currencies	supported_cards_and_currencies
Can I do a bank transfer to put additional money in my account because I am out of money?	supported_cards_and_currencies	transfer_into_account
What is the code I need to get into the app?	passcode_forgotten	passcode_forgotten
It will be fine to use at any establishment that accepts Mastercard.	supported_cards_and_currencies	card_acceptance
My top-up failed, WHY?	top_up_failed	top_up_failed
In terms of holding and exchange, what fiat currencies do you use.	exchange_via_app	fiat_currency_support
What kind of cash machines would allow me to change my PIN?	change_pin	change_pin
My card stopped working	declined_card_payment	card_not_working
I didn't get cash from an ATM, but according to the app a transaction was made when i didn't make it.	declined_cash_withdrawal	cash_withdrawal_not_recognised
CAN YOU EXPLAIN HOW TO TRANSFER MONEY INTO MY  ACCOUNT FOR ME?	supported_cards_and_currencies	transfer_into_account
Do you offer additional currency options?	exchange_via_app	fiat_currency_support
I show another charge on my card from when I used it, why?	declined_card_payment	card_payment_fee_charged
My ID won't be verified!	unable_to_verify_identity	unable_to_verify_identity
Is there a limit for top-ups?	top_up_limits	top_up_limits
The exchange rate would be?	exchange_rate	exchange_rate
How can I top up my Google Pay?	apple_pay_or_google_pay	apple_pay_or_google_pay
Can am I able to exchange currencies?	exchange_via_app	exchange_via_app
How do you get a virtual card?	getting_virtual_card	getting_virtual_card
How many card payments can I use on a disposable card?	supported_cards_and_currencies	disposable_card_limits
How can I use American Express to add funds to my account?	supported_cards_and_currencies	supported_cards_and_currencies
Is there a maximum amount of top-ups?	top_up_limits	top_up_limits
And what about the Card's PIN?	change_pin	get_physical_card
What is the need to verify my identity?	why_verify_identity	why_verify_identity
What countries do you do business in?	supported_cards_and_currencies	country_support
I don't know why my payment didn't work.	declined_card_payment	declined_card_payment
I made a cash withdrawal but the pending status is taking forever.	balance_not_updated_after_cheque_or_cash_deposit	pending_cash_withdrawal
Show me how to change my pin?	change_pin	change_pin
Is it permissible to hold money in multiple currencies?	exchange_via_app	fiat_currency_support
I believe I left my smartphone at the hotel I was staying at.	lost_or_stolen_phone	lost_or_stolen_phone
What is the exchange rate like?	exchange_rate	exchange_rate
